#Raman spectra
#Laser energy   2.33 eV
#Raman shift (cm-1), Raman Spectra (XX,YY,ZZ,s+s+,s-s-,XY,YX,s+s-,s-s+)
     0.0300  0.15249914E+004  0.13404192E+004  0.11493618E+003  0.95219717E+003  0.95206319E+003  0.56440564E+002  0.54493050E+002  0.53487210E+003  0.53721176E+003
     0.3953  0.15442396E+004  0.13640409E+004  0.11650017E+003  0.96350298E+003  0.96335956E+003  0.57165649E+002  0.55182991E+002  0.54566897E+003  0.54809758E+003
     0.7606  0.15641582E+004  0.13886089E+004  0.11812326E+003  0.97516598E+003  0.97501207E+003  0.57914794E+002  0.55895813E+002  0.55693893E+003  0.55946074E+003
     1.1260  0.15847898E+004  0.14141853E+004  0.11980921E+003  0.98720820E+003  0.98704263E+003  0.58689472E+002  0.56632923E+002  0.56871364E+003  0.57133306E+003
     1.4913  0.16061806E+004  0.14408383E+004  0.12156216E+003  0.99965382E+003  0.99947523E+003  0.59491278E+002  0.57395848E+002  0.58102769E+003  0.58374929E+003
     1.8566  0.16283814E+004  0.14686427E+004  0.12338664E+003  0.10125295E+004  0.10123363E+004  0.60321952E+002  0.58186253E+002  0.59391909E+003  0.59674750E+003
     2.2219  0.16514485E+004  0.14976810E+004  0.12528759E+003  0.10258646E+004  0.10256550E+004  0.61183385E+002  0.59005950E+002  0.60742965E+003  0.61036958E+003
     2.5872  0.16754438E+004  0.15280447E+004  0.12727049E+003  0.10396920E+004  0.10394638E+004  0.62077645E+002  0.59856919E+002  0.62160560E+003  0.62466174E+003
     2.9525  0.17004363E+004  0.15598357E+004  0.12934139E+003  0.10540480E+004  0.10537988E+004  0.63006991E+002  0.60741327E+002  0.63649825E+003  0.63967518E+003
     3.3179  0.17265031E+004  0.15931679E+004  0.13150699E+003  0.10689740E+004  0.10687007E+004  0.63973897E+002  0.61661548E+002  0.65216486E+003  0.65546691E+003
     3.6832  0.17537309E+004  0.16281700E+004  0.13377482E+003  0.10845163E+004  0.10842154E+004  0.64981081E+002  0.62620191E+002  0.66866967E+003  0.67210074E+003
     4.0485  0.17822178E+004  0.16649875E+004  0.13615330E+003  0.11007279E+004  0.11003953E+004  0.66031528E+002  0.63620127E+002  0.68608522E+003  0.68964850E+003
     4.4138  0.18120760E+004  0.17037874E+004  0.13865199E+003  0.11176701E+004  0.11173005E+004  0.67128533E+002  0.64664524E+002  0.70449410E+003  0.70819170E+003
     4.7791  0.18434347E+004  0.17447622E+004  0.14128178E+003  0.11354138E+004  0.11350010E+004  0.68275730E+002  0.65756884E+002  0.72399109E+003  0.72782355E+003
